País,Código,Región
Afganistán,AFG,Asia
Albania,ALB,Europa
Argelia,DZA,África
Samoa Americana,ASM,Oceanía
Andorra,AND,Europa
Angola,AGO,África
Anguila,AIA,América del Norte
Antigua y Barbuda,ATG,América del Norte
Argentina,ARG,América del Sur
Armenia,ARM,Asia
Aruba,ABW,América del Norte
Australia,AUS,Oceanía
Austria,AUT,Europa
Azerbaiyán,AZE,Asia
Bahamas,BHS,América del Norte
Baréin,BHR,Asia
Bangladés,BGD,Asia
Barbados,BRB,América del Norte
Bielorrusia,BLR,Europa
Bélgica,BEL,Europa
Belice,BLZ,América del Norte
Benín,BEN,África
Bermudas,BMU,América del Norte
Bután,BTN,Asia
Bolivia,BOL,América del Sur
Bosnia y Herzegovina,BIH,Europa
Botsuana,BWA,África
Brasil,BRA,América del Sur
Brunéi,BRN,Asia
Bulgaria,BGR,Europa
Burkina Faso,BFA,África
Burundi,BDI,África
Camboya,KHM,Asia
Camerún,CMR,África
Canadá,CAN,América del Norte
Cabo Verde,CPV,África
Islas Caimán,CYM,América del Norte
República Centroafricana,CAF,África
Chad,TCD,África
Chile,CHI,América del Sur
China,CHN,Asia
Colombia,COL,América del Sur
Comoras,COM,África
República del Congo,COD,África
Congo,COG,África
Islas Cook,COK,Oceanía
Costa Rica,CRI,América del Norte
Côte d'Ivoire,CIV,África
Croacia,HRV,Europa
Cuba,CUB,América del Norte
Chipre,CYP,Europa
República Checa,CZE,Europa
Dinamarca,DNK,Europa
Yibuti,DJI,África
Dominica,DMA,América del Norte
República Dominicana,DOM,América del Norte
Ecuador,ECU,América del Sur
Egipto,EGY,África
El Salvador,SLV,América del Norte
Guinea Ecuatorial,GNQ,África
Eritrea,ERI,África
Estonia,EST,Europa
Etiopía,ETH,África
Islas Feroe,FRO,Europa
Islas Malvinas,FLK,América del Sur
Fiji,FJI,Oceanía
Finlandia,FIN,Europa
Francia,FRA,Europa
Guayana Francesa,GUF,América del Sur
Polinesia Francesa,PYF,Oceanía
Gabón,GAB,África
Gambia,GMB,África
Georgia,GEO,Asia
Alemania,DEU,Europa
Ghana,GHA,África
Gibraltar,GIB,Europa
Grecia,GRC,Europa
Groenlandia,GRL,América del Norte
Granada,GRD,América del Norte
Guadalupe,GLP,América del Norte
Guam,GUM,Oceania
Guatemala,GTM,América del Norte
Guinea,GIN,África
Guinea-Bisáu,GNB,África
Guyana,GUY,América del Sur
Haití,HTI,América del Norte
Honduras,HND,América del Norte
Hong Kong,HKG,Asia
Hungría,HUN,Europa
Islandia,ISL,Europa
India,IND,Asia
Indonesia,IDN,Asia
Irán,IRN,Asia
Irak,IRQ,Asia
Irlanda,IRL,Europa
Isla de Man,IMN,Europa
Israel,ISR,Asia
Italia,ITA,Europa
Jamaica,JAM,América del Norte
