ISO_pais_origen,Gender_Code,ISO_pais_destino,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
AFG,FEM,AFG,0,0,0,0,0
AFG,FEM,ALB,0,0,0,0,0
AFG,FEM,DZA,22,8,6,5,4
AFG,FEM,ASM,0,0,0,0,0
AFG,FEM,AND,0,0,0,2,3
AFG,FEM,AGO,0,0,0,0,0
AFG,FEM,AIA,0,0,0,0,0
AFG,FEM,ATG,0,0,0,0,0
AFG,FEM,ARG,2,4,6,20,0
AFG,FEM,ARM,0,0,0,0,4
AFG,FEM,ABW,0,0,0,0,0
AFG,FEM,AUS,16,31,350,1236,4449
AFG,FEM,AUT,19,64,105,149,854
AFG,FEM,AZE,0,0,0,0,0
AFG,FEM,BHS,0,0,0,0,0
AFG,FEM,BHR,22,32,2694,6227,10054
AFG,FEM,BGD,49,40,25,12,13
AFG,FEM,BRB,0,0,0,0,0
AFG,FEM,BLR,0,0,0,0,0
AFG,FEM,BEL,7,34,15,120,111
AFG,FEM,BLZ,0,0,0,0,1
AFG,FEM,BEN,0,0,0,0,0
AFG,FEM,BMU,0,0,1,0,2
AFG,FEM,BTN,0,0,0,0,0
AFG,FEM,BOL,0,0,0,0,0
AFG,FEM,BIH,0,0,0,1,0
AFG,FEM,BWA,0,0,0,0,0
AFG,FEM,BRA,3,0,0,15,11
AFG,FEM,BRN,0,0,0,0,0
AFG,FEM,BGR,53,55,56,56,260
AFG,FEM,BFA,0,0,0,0,0
AFG,FEM,BDI,0,0,0,0,0
AFG,FEM,KHM,1,1,0,0,0
AFG,FEM,CMR,0,0,0,0,0
AFG,FEM,CAN,108,1474,2909,655,10707
AFG,FEM,CPV,0,0,0,0,0
AFG,FEM,CYM,0,0,0,0,0
AFG,FEM,CAF,0,0,0,0,0
AFG,FEM,TCD,0,0,0,0,0
AFG,FEM,CHI,..,..,..,..,..
AFG,FEM,CHL,0,0,0,0,3
AFG,FEM,CHN,10,4,0,3,42
AFG,FEM,COL,0,0,0,1,39
AFG,FEM,COM,0,0,0,0,0
AFG,FEM,COD,9,4,2,2,1
AFG,FEM,COG,0,0,0,0,0
AFG,FEM,COK,0,0,0,0,0
AFG,FEM,CRI,0,0,14,9,2
AFG,FEM,CIV,0,0,0,0,0
AFG,FEM,HRV,0,0,0,4,0
AFG,FEM,CUB,0,0,0,0,0
AFG,FEM,CYP,2,5,9,12,1
AFG,FEM,CZE,1,1,2,10,65
AFG,FEM,DNK,8,5,13,154,1866
AFG,FEM,DJI,0,0,0,0,0
AFG,FEM,DMA,0,0,0,0,0
AFG,FEM,DOM,0,0,0,0,0
AFG,FEM,ECU,0,0,0,0,7
AFG,FEM,EGY,604,2050,3789,51,62
AFG,FEM,SLV,3,0,0,0,0
AFG,FEM,GNQ,0,0,0,0,0
AFG,FEM,ERI,0,0,0,0,0
AFG,FEM,EST,0,0,0,0,0
AFG,FEM,ETH,0,0,0,0,0
AFG,FEM,FRO,3,4,5,5,0
AFG,FEM,FLK,0,0,0,0,0
AFG,FEM,FJI,2,2,2,3,4
AFG,FEM,FIN,0,1,2,4,170
AFG,FEM,FRA,844,86,55,22,1510
AFG,FEM,GUF,0,0,0,0,0
AFG,FEM,PYF,0,0,0,0,0
AFG,FEM,GAB,0,0,0,0,0
AFG,FEM,GMB,0,0,0,0,0
AFG,FEM,GEO,0,0,0,0,0
AFG,FEM,DEU,72,91,232,6069,7573
AFG,FEM,GHA,0,2,0,3,6
AFG,FEM,GIB,0,0,0,0,0
AFG,FEM,GRC,5,13,23,94,61
AFG,FEM,GRL,0,0,0,0,0
AFG,FEM,GRD,0,0,0,0,0
AFG,FEM,GLP,0,0,0,0,0
AFG,FEM,GUM,1,5,0,3,2
AFG,FEM,GTM,0,0,0,0,0
AFG,FEM,GIN,0,0,0,0,0
AFG,FEM,GNB,0,0,0,0,0
AFG,FEM,GUY,0,0,0,0,0
AFG,FEM,HTI,0,0,0,0,0
AFG,FEM,HND,0,0,0,0,1
AFG,FEM,HKG,27,29,1,21,461
AFG,FEM,HUN,26,48,44,38,37
AFG,FEM,ISL,0,0,0,0,0
AFG,FEM,IND,655,731,2164,6676,4704
AFG,FEM,IDN,12,8,7,8,7
AFG,FEM,IRN,21205,35415,126455,288307,309799
AFG,FEM,IRQ,123,70,38,20,0
AFG,FEM,IRL,2,4,6,6,41
AFG,FEM,IMN,..,..,..,..,..
AFG,FEM,ISR,8,10,10,82,195
AFG,FEM,ITA,91,120,133,914,39
AFG,FEM,JAM,0,0,0,0,0
AFG,FEM,JPN,0,2,5,44,68
AFG,FEM,JOR,14,27,88,38,29
AFG,FEM,KAZ,0,0,0,0,0
AFG,FEM,KEN,3,30,24,18,0
AFG,FEM,KIR,0,0,0,0,0
AFG,FEM,PRK,0,0,0,0,4
AFG,FEM,KOR,0,0,0,0,0
AFG,FEM,XKX,..,..,..,..,..
AFG,FEM,KWT,107,136,38,44870,36044
AFG,FEM,KGZ,0,0,0,0,407
AFG,FEM,LAO,0,0,0,0,0
AFG,FEM,LVA,0,0,0,0,3
AFG,FEM,LBN,11,22,30,24831,11670
AFG,FEM,LSO,0,0,0,0,0
AFG,FEM,LBR,0,0,0,0,0
AFG,FEM,LBY,18,125,290,427,511
AFG,FEM,LIE,0,0,0,0,0
AFG,FEM,LTU,0,0,0,0,13
AFG,FEM,LUX,0,0,2,13,0
AFG,FEM,MAC,0,0,1,2,2
AFG,FEM,MKD,0,0,0,14,16
AFG,FEM,MDG,0,0,0,2,2
AFG,FEM,MWI,0,0,0,0,0
AFG,FEM,MYS,0,3,10,30,43
AFG,FEM,MDV,0,2,0,2,2
AFG,FEM,MLI,0,0,0,0,0
AFG,FEM,MLT,0,0,0,0,2
AFG,FEM,MHL,0,0,0,0,0
AFG,FEM,MTQ,0,0,0,0,0
AFG,FEM,MRT,0,0,0,1,1
AFG,FEM,MUS,0,0,0,0,0
AFG,FEM,MYT,0,0,0,0,0
AFG,FEM,MEX,6,7,2,0,0
AFG,FEM,FSM,0,0,0,0,0
AFG,FEM,MDA,0,0,0,0,0
AFG,FEM,MCO,0,0,3,4,4
AFG,FEM,MNG,0,0,0,0,0
AFG,FEM,MNE,..,..,..,..,..
AFG,FEM,MSR,0,0,0,0,0
AFG,FEM,MAR,30,9,5,4,4
AFG,FEM,MOZ,0,0,0,0,0
AFG,FEM,MMR,6,6,4,3,3
AFG,FEM,NAM,0,0,0,0,0
AFG,FEM,NRU,0,0,0,0,0
AFG,FEM,NPL,0,8,11,0,38
AFG,FEM,NLD,0,0,0,0,11431
AFG,FEM,ANT,0,0,0,0,0
AFG,FEM,NCL,0,0,0,0,2
AFG,FEM,NZL,8,36,64,132,313
AFG,FEM,NIC,4,7,8,9,10
AFG,FEM,NER,0,0,0,0,0
AFG,FEM,NGA,0,0,0,0,0
AFG,FEM,NIU,0,0,0,0,0
AFG,FEM,NFK,0,0,0,0,0
AFG,FEM,MNP,0,0,0,5,5
AFG,FEM,NOR,0,0,3,68,292
AFG,FEM,OMN,25,36,83,240,351
AFG,FEM,PAK,9705,10122,7916,6212,4981
AFG,FEM,PLW,0,0,0,0,0
AFG,FEM,PAN,0,0,0,13,0
AFG,FEM,PNG,0,0,5,4,2
AFG,FEM,PRY,0,0,0,0,2
AFG,FEM,PER,0,0,0,2,2
AFG,FEM,PHL,5,5,17,11,388
AFG,FEM,POL,1,1,8,15,20
AFG,FEM,PRT,0,2,5,0,0
AFG,FEM,PRI,0,0,0,0,0
AFG,FEM,QAT,5,60,194,21914,8233
AFG,FEM,REU,0,0,0,0,0
AFG,FEM,ROU,0,0,0,0,0
AFG,FEM,RUS,0,0,0,0,153
AFG,FEM,RWA,0,0,0,0,0
AFG,FEM,SHN,0,0,0,0,0
AFG,FEM,SPM,0,0,0,0,0
AFG,FEM,WSM,0,0,0,0,0
AFG,FEM,SMR,0,0,0,0,0
AFG,FEM,STP,0,0,0,0,0
AFG,FEM,SAU,61,319,1504,3618,4434
AFG,FEM,SEN,0,0,0,0,0
AFG,FEM,SRB,..,..,..,..,..
AFG,FEM,SCG,1,1,3,0,3
AFG,FEM,SYC,0,0,0,0,0
AFG,FEM,SLE,0,0,0,0,0
AFG,FEM,SGP,1,2,5,14,124
AFG,FEM,SVK,0,0,0,2,7
AFG,FEM,SVN,0,0,0,0,0
AFG,FEM,SLB,0,0,0,0,0
AFG,FEM,SOM,0,0,0,0,0
AFG,FEM,ZAF,1,1,0,0,0
AFG,FEM,ESP,0,0,0,56,41
AFG,FEM,LKA,6,13,68,47,40
AFG,FEM,KNA,0,0,0,0,0
AFG,FEM,LCA,0,0,0,0,0
AFG,FEM,VCT,0,0,0,0,0
AFG,FEM,SDN,2,2,2,4,5
AFG,FEM,SUR,0,0,0,0,0
AFG,FEM,SWZ,0,0,0,0,0
AFG,FEM,SWE,11,19,74,178,1886
AFG,FEM,CHE,95,63,62,230,1076
AFG,FEM,SYR,322,3258,2235,3172,4182
AFG,FEM,TWN,0,0,0,0,0
AFG,FEM,TJK,0,0,0,785,601
AFG,FEM,TZA,9,9,3,3,3
AFG,FEM,THA,0,2,43,85,289
AFG,FEM,TLS,0,0,0,0,0
AFG,FEM,TGO,0,0,0,0,0
AFG,FEM,TKL,0,0,0,0,0
AFG,FEM,TON,0,0,0,2,0
AFG,FEM,TTO,0,0,0,0,0
AFG,FEM,TUN,38,4,32,63,59
AFG,FEM,TUR,275,1260,1794,3549,4144
AFG,FEM,TKM,0,0,0,0,0
AFG,FEM,TCA,0,0,0,0,0
AFG,FEM,TUV,0,0,0,0,0
AFG,FEM,UGA,0,0,0,0,0
AFG,FEM,UKR,0,0,0,0,107
AFG,FEM,ARE,2,88,1379,3622,5139
AFG,FEM,GBR,80,22,285,8,3
AFG,FEM,USA,120,101,1989,13407,21776
AFG,FEM,URY,0,0,0,0,0
AFG,FEM,UZB,0,0,0,0,0
AFG,FEM,VUT,0,0,0,0,0
AFG,FEM,VEN,2,0,4,5,4
AFG,FEM,VNM,0,0,0,0,7
AFG,FEM,VIR,0,0,0,0,0
AFG,FEM,VGB,0,0,0,0,0
AFG,FEM,WLF,0,0,0,0,0
AFG,FEM,PSE,20,24,28,37,57
AFG,FEM,YEM,469,581,719,890,1041
AFG,FEM,ZMB,0,0,1,0,0
AFG,FEM,ZWE,0,0,0,0,0
AFG,MAL,AFG,0,0,0,0,0
AFG,MAL,ALB,0,0,0,0,0
AFG,MAL,DZA,19,8,6,5,4
AFG,MAL,ASM,0,0,0,0,0
AFG,MAL,AND,0,0,1,3,3
AFG,MAL,AGO,0,0,0,0,0
AFG,MAL,AIA,0,0,0,0,0
AFG,MAL,ATG,0,0,0,0,0
AFG,MAL,ARG,4,5,6,0,0
AFG,MAL,ARM,0,0,0,0,3
AFG,MAL,ABW,0,0,0,0,0
AFG,MAL,AUS,26,40,399,1401,6679
AFG,MAL,AUT,28,84,112,118,1634
AFG,MAL,AZE,0,0,0,0,0
AFG,MAL,BHS,0,0,1,0,0
AFG,MAL,BHR,39,30,10690,16292,24366
AFG,MAL,BGD,102,79,107,132,145
AFG,MAL,BRB,0,0,0,0,0
AFG,MAL,BLR,0,0,0,0,0
AFG,MAL,BEL,9,58,26,109,98
AFG,MAL,BLZ,0,0,0,0,1
AFG,MAL,BEN,0,0,0,0,0
AFG,MAL,BMU,0,0,1,0,3
AFG,MAL,BTN,0,0,0,0,0
AFG,MAL,BOL,0,0,0,0,2
AFG,MAL,BIH,0,0,0,1,1
AFG,MAL,BWA,0,0,0,0,0
AFG,MAL,BRA,5,0,0,32,17
AFG,MAL,BRN,0,0,0,0,0
AFG,MAL,BGR,115,120,123,122,566
AFG,MAL,BFA,0,0,0,0,0
AFG,MAL,BDI,0,0,0,0,0
AFG,MAL,KHM,3,3,0,0,2
AFG,MAL,CMR,0,0,0,0,0
AFG,MAL,CAN,121,1533,2996,885,11263
AFG,MAL,CPV,0,0,0,0,0
AFG,MAL,CYM,0,0,0,0,0
AFG,MAL,CAF,0,0,0,0,0
AFG,MAL,TCD,0,0,0,0,0
AFG,MAL,CHI,..,..,..,..,..
